iter	Passed	Remaining
762	13158	21333
763	13177	21317
764	13192	21297
765	13208	21277
766	13224	21258
767	13242	21243
768	13260	21226
769	13275	21205
770	13290	21185
771	13308	21169
772	13323	21149
773	13339	21129
774	13360	21117
775	13380	21105
776	13396	21085
777	13415	21071
778	13431	21053
779	13448	21034
780	13464	21015
781	13479	20995
782	13496	20976
783	13513	20959
784	13529	20940
785	13545	20921
786	13562	20903
787	13577	20882
788	13596	20868
789	13612	20849
790	13630	20833
791	13646	20814
792	13660	20792
793	13675	20771
794	13690	20751
795	13705	20731
796	13720	20710
797	13740	20696
798	13756	20678
799	13772	20658
800	13787	20638
801	13803	20619
802	13820	20601
803	13837	20584
804	13854	20565
805	13870	20547
806	13887	20530
807	13903	20511
808	13920	20493
809	13936	20474
810	13951	20453
811	13966	20434
812	13983	20415
813	13998	20395
814	14014	20376
815	14032	20360
816	14049	20343
817	14066	20326
818	14083	20308
819	14099	20289
820	14116	20272
821	14135	20257
822	14153	20240
823	14170	20224
824	14187	20206
825	14205	20190
826	14221	20170
827	14238	20154
828	14255	20136
829	14271	20117
830	14286	20097
831	14302	20078
832	14317	20058
833	14333	20038
834	14348	20019
835	14364	20000
836	14379	19980
837	14397	19963
838	14415	19948
839	14433	19932
840	14453	19918
841	14470	19901
842	14489	19885
843	14505	19868
844	14523	19852
845	14542	19836
846	14559	19819
847	14575	19800
848	14592	19783
849	14609	19765
850	14624	19746
851	14643	19731
852	14659	19711
853	14676	19694
854	14693	19676
855	14708	19657
856	14726	19641
857	14741	19621
858	14757	19602
859	14774	19584
860	14790	19566
861	14807	19548
862	14824	19530
863	14839	19511
864	14854	19490
865	14869	19471
866	14884	19451
867	14899	19430
868	14915	19411
869	14929	19391
870	14945	19372
871	14962	19355
872	14977	19335
873	14992	19315
874	15007	19295
875	15022	19274
876	15037	19255
877	15053	19236
878	15068	19216
879	15083	19197
880	15098	19177
881	15113	19157
882	15128	19137
883	15143	19117
884	15160	19101
885	15176	19082
886	15191	19062
887	15207	19043
888	15224	19026
889	15241	19008
890	15257	18989
891	15272	18970
892	15287	18950
893	15302	18931
894	15319	18913
895	15335	18895
896	15349	18874
897	15364	18855
898	15379	18834
899	15394	18815
900	15409	18795
901	15424	18775
902	15438	18755
903	15454	18736
904	15469	18717
905	15484	18697
906	15498	18677
907	15514	18658
908	15529	18639
909	15546	18621
910	15561	18602
911	15577	18584
912	15597	18569
913	15616	18555
914	15632	18537
915	15649	18519
916	15665	18501
917	15682	18484
918	15702	18470
919	15719	18452
920	15739	18439
921	15757	18423
922	15775	18407
923	15791	18389
924	15809	18373
925	15826	18356
926	15847	18342
927	15862	18324
928	15880	18307
929	15897	18290
930	15913	18271
931	15928	18252
932	15947	18237
933	15964	18220
934	15979	18201
935	16000	18188
936	16020	18175
937	16039	18159
938	16058	18144
939	16076	18128
940	16093	18111
941	16112	18096
942	16131	18081
943	16149	18065
944	16165	18047
945	16186	18034
946	16204	18018
947	16222	18002
948	16238	17983
949	16254	17965
950	16273	17950
951	16291	17934
952	16307	17916
953	16324	17898
954	16340	17880
955	16357	17863
956	16375	17846
957	16391	17828
958	16407	17810
959	16424	17793
960	16443	17777
961	16461	17761
962	16477	17743
963	16493	17725
964	16510	17708
965	16526	17689
966	16540	17669
967	16560	17655
968	16576	17637
969	16594	17621
970	16611	17603
971	16628	17586
972	16644	17567
973	16662	17551
974	16679	17534
975	16694	17516
976	16710	17497
977	16727	17480
978	16743	17461
979	16758	17442
980	16775	17425
981	16792	17408
982	16807	17389
983	16825	17373
984	16840	17353
985	16856	17335
986	16874	17318
987	16889	17299
988	16905	17281
989	16920	17262
990	16935	17243
991	16952	17226
992	16966	17206
993	16983	17188
994	16999	17170
995	17016	17153
996	17031	17133
997	17047	17115
998	17062	17096
999	17077	17077
1000	17094	17060
1001	17110	17041
1002	17126	17023
1003	17142	17005
1004	17173	17002
1005	17188	16983
1006	17205	16965
1007	17221	16947
1008	17236	16929
1009	17257	16915
1010	17275	16899
1011	17294	16884
1012	17310	16866
1013	17328	16850
1014	17345	16832
1015	17360	16813
1016	17375	16795
1017	17396	16781
1018	17417	16767
1019	17434	16750
1020	17451	16733
1021	17468	16716
1022	17485	16698
1023	17501	16681
1024	17521	16666
1025	17539	16650
1026	17556	16633
1027	17572	16615
1028	17589	16597
1029	17604	16579
1030	17620	16560
1031	17639	16545
1032	17657	16529
1033	17674	16511
1034	17690	16493
1035	17710	16479
1036	17728	16462
1037	17743	16444
1038	17759	16426
1039	17775	16408
1040	17791	16389
1041	17807	16372
1042	17829	16359
1043	17846	16342
1044	17865	16327
1045	17881	16308
1046	17900	16293
1047	17915	16274
1048	17931	16256
1049	17948	16239
1050	17965	16222
1051	17981	16203
1052	18000	16188
1053	18017	16171
1054	18033	16153
1055	18050	16135
1056	18071	16122
1057	18088	16105
1058	18108	16090
1059	18125	16073
1060	18144	16057
1061	18163	16043
1062	18181	16026
1063	18199	16009
1064	18216	15993
1065	18234	15976
1066	18252	15960
1067	18268	15941
1068	18287	15926
1069	18305	15910
1070	18321	15892
1071	18336	15873
1072	18351	15854
1073	18367	15836
1074	18382	15817
1075	18399	15799
1076	18419	15785
1077	18436	15768
1078	18451	15749
1079	18469	15732
1080	18485	15714
1081	18504	15700
1082	18522	15683
1083	18540	15667
1084	18558	15650
1085	18576	15634
1086	18594	15617
1087	18610	15599
1088	18627	15583
1089	18646	15567
1090	18663	15549
1091	18680	15533
1092	18702	15520
1093	18722	15505
1094	18739	15488
1095	18760	15474
1096	18779	15458
1097	18795	15440
1098	18817	15427
1099	18837	15412
1100	18855	15396
1101	18874	15380
1102	18895	15366
1103	18912	15349
1104	18928	15331
1105	18949	15317
1106	18970	15302
1107	18991	15289
1108	19012	15274
1109	19030	15258
1110	19048	15242
1111	19067	15226
1112	19084	15209
1113	19099	15190
1114	19118	15174
1115	19135	15157
1116	19152	15140
1117	19171	15124
1118	19192	15110
1119	19211	15094
1120	19228	15077
1121	19248	15062
1122	19265	15045
1123	19284	15029
1124	19300	15011
1125	19318	14995
1126	19339	14980
1127	19358	14965
1128	19377	14949
1129	19398	14934
1130	19416	14918
1131	19434	14902
1132	19450	14884
1133	19468	14867
1134	19489	14852
1135	19510	14838
1136	19527	14821
1137	19544	14804
1138	19561	14787
1139	19579	14770
1140	19597	14753
1141	19612	14735
1142	19627	14716
1143	19645	14699
1144	19666	14685
1145	19687	14671
1146	19705	14654
1147	19724	14638
1148	19741	14621
1149	19760	14605
1150	19777	14588
1151	19793	14570
1152	19812	14554
1153	19834	14540
1154	19849	14521
1155	19868	14506
1156	19885	14489
1157	19903	14471
1158	19920	14454
1159	19939	14439
1160	19956	14421
1161	19975	14405
1162	19993	14388
1163	20008	14370
1164	20028	14355
1165	20046	14338
1166	20062	14320
1167	20078	14302
1168	20095	14284
1169	20112	14267
1170	20134	14253
1171	20153	14237
1172	20172	14222
1173	20187	14203
1174	20206	14187
1175	20223	14170
1176	20239	14152
1177	20259	14136
1178	20278	14120
1179	20298	14105
1180	20316	14088
1181	20335	14073
1182	20351	14054
1183	20371	14039
1184	20390	14023
1185	20409	14007
1186	20429	13992
1187	20447	13975
1188	20463	13958
1189	20482	13941
1190	20501	13926
1191	20519	13909
1192	20539	13893
1193	20558	13878
1194	20573	13859
1195	20594	13844
1196	20613	13828
1197	20628	13809
1198	20650	13795
1199	20672	13781
1200	20691	13765
1201	20708	13748
1202	20724	13730
1203	20741	13712
1204	20757	13695
1205	20778	13680
1206	20797	13664
1207	20813	13646
1208	20830	13628
1209	20847	13610
1210	20866	13594
1211	20882	13577
1212	20900	13560
1213	20918	13543
1214	20936	13526
1215	20952	13509
1216	20972	13493
1217	20988	13475
1218	21005	13458
1219	21023	13441
1220	21041	13424
1221	21058	13406
1222	21077	13390
1223	21097	13375
1224	21118	13360
1225	21137	13344
1226	21154	13327
1227	21172	13310
1228	21193	13295
1229	21209	13277
1230	21228	13261
1231	21247	13244
1232	21265	13228
1233	21281	13210
1234	21303	13196
1235	21321	13179
1236	21342	13164
1237	21360	13147
1238	21376	13129
1239	21394	13112
1240	21415	13097
1241	21434	13081
1242	21451	13064
1243	21469	13047
1244	21490	13032
1245	21512	13018
1246	21530	13001
1247	21547	12984
1248	21567	12968
1249	21585	12951
1250	21605	12935
1251	21624	12919
1252	21647	12905
1253	21669	12890
1254	21689	12875
1255	21707	12858
1256	21728	12843
1257	21746	12826
1258	21764	12809
1259	21784	12793
1260	21802	12777
1261	21821	12760
1262	21841	12745
1263	21867	12732
1264	21885	12715
1265	21905	12700
1266	21920	12681
1267	21940	12665
1268	21958	12648
1269	21974	12630
1270	21991	12613
1271	22008	12596
1272	22024	12578
1273	22043	12561
1274	22063	12545
1275	22080	12528
1276	22099	12512
1277	22117	12495
1278	22134	12477
1279	22150	12459
1280	22169	12443
1281	22186	12426
1282	22204	12408
1283	22220	12391
1284	22237	12373
1285	22253	12355
1286	22269	12337
1287	22284	12318
1288	22300	12300
1289	22317	12283
1290	22334	12265
1291	22352	12249
1292	22373	12233
1293	22393	12218
1294	22410	12200
1295	22427	12182
1296	22444	12165
1297	22460	12147
1298	22480	12131
1299	22500	12115
1300	22519	12099
1301	22536	12081
1302	22555	12065
1303	22571	12047
1304	22589	12030
1305	22605	12012
1306	22622	11995
1307	22638	11976
1308	22654	11959
1309	22671	11941
1310	22686	11922
1311	22704	11905
1312	22721	11888
1313	22736	11869
1314	22753	11852
1315	22769	11834
1316	22787	11817
1317	22802	11799
1318	22821	11782
1319	22835	11763
1320	22851	11746
1321	22868	11728
1322	22884	11710
1323	22901	11692
1324	22917	11674
1325	22933	11656
1326	22948	11638
1327	22965	11620
1328	22981	11603
1329	22997	11585
1330	23013	11567
1331	23030	11549
1332	23046	11531
1333	23063	11514
1334	23080	11496
1335	23099	11480
1336	23117	11463
1337	23136	11446
1338	23153	11429
1339	23172	11413
1340	23188	11395
1341	23206	11378
1342	23224	11361
1343	23243	11345
1344	23262	11328
1345	23278	11310
1346	23293	11292
1347	23310	11274
1348	23329	11258
1349	23348	11241
1350	23365	11224
1351	23382	11207
1352	23404	11191
1353	23423	11175
1354	23439	11157
1355	23455	11139
1356	23475	11123
1357	23492	11106
1358	23510	11089
1359	23531	11073
1360	23551	11057
1361	23571	11041
1362	23589	11024
1363	23607	11007
1364	23627	10991
1365	23647	10975
1366	23662	10957
1367	23679	10939
1368	23698	10923
1369	23716	10906
1370	23736	10889
1371	23751	10871
1372	23768	10854
1373	23791	10839
1374	23808	10822
1375	23832	10807
1376	23853	10792
1377	23870	10774
1378	23888	10757
1379	23906	10740
1380	23921	10722
1381	23940	10705
1382	23959	10688
1383	23978	10672
1384	23995	10655
1385	24012	10637
1386	24028	10619
1387	24047	10603
1388	24067	10586
1389	24086	10570
1390	24107	10554
1391	24128	10538
1392	24146	10521
1393	24164	10504
1394	24180	10486
1395	24199	10470
1396	24216	10452
1397	24234	10435
1398	24252	10418
1399	24269	10401
1400	24284	10382
1401	24302	10365
1402	24321	10349
1403	24339	10332
1404	24355	10314
1405	24376	10298
1406	24396	10282
1407	24413	10264
1408	24435	10249
1409	24454	10232
1410	24472	10215
1411	24490	10198
1412	24506	10180
1413	24524	10163
1414	24540	10145
1415	24557	10128
1416	24581	10113
1417	24599	10096
1418	24615	10078
1419	24632	10061
1420	24650	10043
1421	24665	10025
1422	24682	10008
1423	24701	9991
1424	24721	9975
